"","score","text"
"1",0,"Will need a lot of this after my final. #ethanol #alcohol #finals #science http://t.co/SHuod0QHRH"
"2",-1,"Must Read : 7 Things I Learned During My Year Without Alcohol http://t.co/xmyzWfXqvb via #alcohol #addiction #sober #journey"
"3",0,"€5 cocktails...why cant cocktails be like this in london :( #cocktails #alcohol #delish #drunk #oasisbar #algarve... http://t.co/8V2l4iq1fU"
"4",2,"Four thirty cannot come fast enough #PE #21st #Alcohol #Food #FoodAgain"
"5",0,"RT @Medcanpoet: @ProfDavidNutt @HfdCannabisClub ""ETH VIOLENCE."" Ethyl #Alcohol Drug Awareness T.  Agree? RT.  End #WarBetweenDrugs. http://…"
"6",1,"@DRBristol71 FAIR GO RISES: ""ETH VIOLENCE."" Ethyl #Alcohol Drug Awareness T-shirt.  Agree? RT.  End #WarBetweenDrugs. http://t.co/J0EezAfw4y"
"7",-1,"RT @SCPHRP: UK  news: Public perceive #alcohol adverts breach regulatory code, research finds http://t.co/4JeETxoP3C"
"8",1,"My Summer will contain:#dancemusic #TrapMusic #toomuch #alcohol #sunny #FestivalSeason #Bestival14 #Australia 2014 is Pregnant People. Peace"
"9",2,"Liverpool tonightttt #excited #alcohol #party #reddress #pretty"
"10",0,"Sometimes I imagine I can smell alcohol coming off my laptop screen, it seems to be a Twitter obsession. #alcohol."
"11",1,"Rush #Alcohol Evaluations and Drug &amp; Alcohol Assessments available online at http://t.co/MTM3poXqhr"
"12",1,"@daaaaavesimons FAIR GO RISES: ""ETH VIOLENCE."" Ethyl #Alcohol Drug Awareness T.  Agree? RT.  End #WarBetweenDrugs. http://t.co/J0EezAfw4y"
"13",0,"Read how #alcohol affects your #brain http://t.co/fmJROBFIiI"
"14",1,"Foto de rayneleandro: €5 cocktails...why cant cocktails be like this in london :( #cocktails #alcohol #delish... http://t.co/Hgl7HuGC9c"
"15",0,"l.y. av_globa #weekend #ukraine #spring #instache #usa #alcohol #bf #f4f #me http://t.co/UNH8CjTlcn"
"16",0,"LATE NIGHT ALCOHOL DELIVERY, London - stores, liquor stores and much more at http://t.co/hDETFSythN #LIQUOR #LATE #DELIVERY #ALCOHOL"
"17",0,"UK: 3 in 4 viewers think #alcohol advertising breaches codes http://t.co/AdKCJU8AmH via @ProlificNorth"
"18",1,"RT @Medcanpoet: @Lord_Cannabis FAIR GO RISES: ""ETH VIOLENCE."" Ethyl #Alcohol Drug Awareness T.  Agree? RT.  End #WarBetweenDrugs. http://t.…"
"19",1,"@Lord_Cannabis FAIR GO RISES: ""ETH VIOLENCE."" Ethyl #Alcohol Drug Awareness T.  Agree? RT.  End #WarBetweenDrugs. http://t.co/J0EezAfw4y"
"20",0,"RT @EssentialFact: If you drink routinely, find out what good and bad that alcohol does to your body. #alcohol #health  http://t.co/FMHZLxv…"
"21",1,"Today is national Moscato day AND it's Friday! We'll drink to that ... cheers! #Alcohol http://t.co/mJeQh4hlgI"
"22",2,"I'm liking this theory right now #technical #theory #alcohol #always #a #solution http://t.co/ZyCuSXVzSi"
"23",-1,"#drinks #clubbing #nightout #alcohol #booze #boozing #vodka #dinner #winter #seapoint #hungover #tired… http://t.co/pAdT2jcBPL"
"24",-1,"#Alcohol Age doesn't matter 
When you don't give a fuck either way"
"25",-3,"Parental abuse of alcohol increases risk of suicide by adult offspring http://t.co/ctVd7uz0Jx #alcohol #addiction"
"26",0,"Friday night cocktails :) #longislandicetea #sexonthebeach #cocktails #alcohol @ Irish Finnigans http://t.co/O6kfZYugsi"
"27",0,"When in Denmark.... #carlsberg #copenhagen #denmark #alcohol #beer #lager #eatingout #beverage http://t.co/jVnI4JAVcg"
"28",0,"@ProfDavidNutt @HfdCannabisClub ""ETH VIOLENCE."" Ethyl #Alcohol Drug Awareness T.  Agree? RT.  End #WarBetweenDrugs. http://t.co/J0EezAfw4y"
"29",0,"If we can control #tobacco #alcohol then why not #cannabis ?"
"30",0,"Acid Reflux Diseas http://t.co/MWbDN2ga5e #dietary_supplements #alcohol"
"31",0,"Getting Yourself O http://t.co/FtMq1x0ofR #dietary_supplements #alcohol"
"32",1,"Moderate to heavy #drug &amp; #alcohol use will soon negatively impact your sexual functioning. Try it straight for the best #sexual experiences"
"33",1,"RT @iAlmightie: #goodtimes #enjoy #jackdaniels  #flight #booze #alcohol http://t.co/mxksWclCtj"
"34",1,"#goodtimes #enjoy #jackdaniels  #flight #booze #alcohol http://t.co/mxksWclCtj"
"35",-1,"#nightout #drunk #drinking #smashed #besties #goodnight #alcohol http://t.co/cqDMKBc6sd"
