"","score","text"
"1",3,"#dogging,#gangbang,#horny,#stockings,#sluts,#sexual,#car sex: Three Super Hot Babes Enjoy Playing... http://t.co/7WqoswZDJh #Lesbian"
"2",-1,"RT @CityPoliceIFED: Anyone selling fake #car #insurance can be reported confidentially through @TheIFB’s Cheatline, powered by @Crimestoppe…"
"3",1,"News: Brave Os #car Knox passes away #uk #news"
"4",0,"US: California invests in hydrogen fuel stations: In America, one particular state is the... http://t.co/zlea5uXfdZ #Cars #Car #Auto"
"5",1,"Iso Rivolta GT No. 003 Is Now In Hungary: by Mike - There are many classic car lovers in Hungary... http://t.co/L7eJYWYQGw #Cars #Car #Auto"
"6",1,"Come &amp; get the best #car accessories from us! #zunsportgrilles give your #car a whole new look  Purchase direct from us - Click, RT/Follow"
"7",0,"#Business #Car Mitsubishi Outlander PHEV review: plug-in hybrid SUV for the price of the diesel http://t.co/WE1riBszF4"
"8",2,"#Diesel #Fleet #Car Evander Glazing &amp; Locks scoops RoSPA gold award http://t.co/BiqsLxil83"
"9",-2,"RT @mashanubian: #ICC team in #CAR on 1st mission to probe crimes committed since bloodshed broke out in 2012."
"10",0,"#Geneva briefing starting now.Topics:#Nigeria,#SouthSudan,#Syria,education in #CAR,global status rpt on alcohol&amp;health 2014 . v @UNGeneva"
"11",1,"#CAR: Amazing interactive story by @azadessa, @furcoisorin and @konstantinosant “The war across the river”  #CARCrisis Via @AJEnglish"
"12",-1,"#dogging,#gangbang,#horny,#stockings,#sluts,#sexual,#car sex: Lovely #Shemale Gets Fucked Hard http://t.co/2sVcmfHXb8"
"13",0,"RT @TVP_Aylesbury: Opportunist #thieves will try #car doors,to see if they are unlocked &amp; can then easily take any valuables that have been…"
"14",0,"RT @UNGeneva: #Geneva briefing starting now. Topics: #Nigeria, #SouthSudan, #Syria, education in #CAR, global status report on alcohol and …"
"15",-2,"RT @mashanubian: #ICC team in #CAR on 1st mission to probe crimes committed since bloodshed broke out in 2012."
"16",1,"G35 Body Kits - Shine your #car look this season with our #bodykit. http://t.co/9NPT9wBJLW"
"17",3,"#ff @Jamball_UK 4 or 2 wheels, it doesn’t matter as long as it’s fast and exciting. Great #car banter so go follow "
"18",1,"RT @kustomizekingz: Repaint on a Mitsubishi Evo stunning blue pearl #carpaint #car http://t.co/D714DK0bLJ"
"19",0,"#blue #car #picture #realracing3 #Racing  http://t.co/2xfz8i6HTK"
