"","score","text"
"1",-1,"RT @AddictionAvert: Give your mother what she really want's for mother's day.. A sober child. #addiction #MothersDay #mom #drugs #NA #XA ht…"
"2",0,"RT @maykolizate: Nestle grows with your #children. / #Nestle crece junto a tus #hijos. #LOL #XD #drugs #drogas http://t.co/zYhRee5Wme http:…"
"3",0," /  /  /  : ROA.
#drugs #consumption #routes #of #administration"
"4",0,"My main #DRUGS #Codeine #Xtc &amp; #Xanax"
"5",-1,"#Reunited with mauortizb #wine #beer #vodka #drugs and #peanuts Can you die of #hangover? #Poznań #Poland #polish... http://t.co/08bmLZQCsS"
"6",1,"Hart - #Drugs  - Download for FREE http://t.co/OKqTBCy6uP #"
"7",-2,"Damn, my life depends on Twitter. I haven't used it for a month but now I'm addicted again. #drugs"
"8",-1,"RT @XmustachesX: Do drugs with me? #drugs #weed #marijuana #stoner #boner #cats #morecats #staymetal #pastel… http://t.co/YpnHRthd0O"
"9",-1,"Will insurer cost-sharing limit #consumer access to #drugs? http://www http://t.co/eEsofTl1Ps  #aca #healthCare #obamaCare"
"10",0,"#drugs How to treat a family member who is in drug http://t.co/A8tHLhiL5I"
"11",1,"Health experts warn of side effects from 'smart drugs' commonly used by #students. Report from @BBCNewsbeat... http://t.co/PPzuXz5s0u #drugs"
"12",-1,"RT @2of: #IoM makes national news for thinking the unthinkable on #drugs in Britain http://t.co/OoJ50L8aQR"
"13",-1,"#IoM makes national news for thinking the unthinkable on #drugs in Britain http://t.co/OoJ50L8aQR"
"14",2,"Good luck you pharmacology hoolies @twadify @sarah_welshie @BethanieJD @juliettegrevett  #youvegotthis #drugs"
"15",-1,"#Annoying #news - Selling young girls is more profitable than trafficking #drugs or #weapons."
"16",0,"(this is upper beer) #drugs ??? http://t.co/MvxWGanPEl"
"17",0,"€100k worth of cannabis seized in Dublin city centre: http://t.co/5j8WxHURj4 #gardai #crime #drugs"
"18",1,"Vietnamese #Drug #Centers: #Forced #Labor, #HumanRights #Violations; #ethics #recovery #drugs #rehab #law @scoopit http://t.co/XYzveXDu0x"
"19",-2,"RT @kenziekbitch: Got that nose bleed numb feeling and everything is alright #drugs #TheFamily #DrugFamily http://t.co/4IcskcpZb1"
"20",0,"When your #homie #fronts u #drugs cuz u don't have #cash on you... http://t.co/hBgyISU1rG"
"21",1,"Effective #sales and #marketing 
strategies for #drugs with #companiondx http://t.co/JTBjO3yNUb #pharma"
"22",0,"@shaynaabaaby #drugs"
"23",-2,"RT @kenziekbitch: Got that nose bleed numb feeling and everything is alright #drugs #TheFamily #DrugFamily http://t.co/4IcskcpZb1"
"24",-2,"RT @kenziekbitch: Got that nose bleed numb feeling and everything is alright #drugs #TheFamily #DrugFamily http://t.co/4IcskcpZb1"
"25",-2,"RT @kenziekbitch: Got that nose bleed numb feeling and everything is alright #drugs #TheFamily #DrugFamily http://t.co/4IcskcpZb1"
"26",-2,"Unhealthy mix of #drugs and #alcohol still rampant in all parts of the community http://t.co/SbnEEhDEix"
"27",2,"China adjusts policy on pricing cheaper #drugs allowing drugmakers more freedom in how much to charge for their drugs http://t.co/SAYZVHmagz"
"28",-2,"Got that nose bleed numb feeling and everything is alright #drugs #TheFamily #DrugFamily http://t.co/4IcskcpZb1"
"29",0,"s/o the dj's in my city spinning my #drugs single prod. @MarkHenryDC @DJStylzDC @DJQUICKSILVA  @iDJswagg @DJDannyFyah rt!!!!"
"30",-1,"""High on #drugs-liquor, men prey on infant, young daughters in Punjab."" - Shocking story from #Punjab. what is Govt doing about it?"
"31",2,"RT @ProfDavidNutt: With brave and open-minded leadership, Isle of Man could pioneer #cannabis research and rational #drugs policy. http://t…"
"32",2,"RT @ProfDavidNutt: With brave and open-minded leadership, Isle of Man could pioneer #cannabis research and rational #drugs policy. http://t…"
"33",2,"RT @ProfDavidNutt: Can @IOMGovernment lead the way? Chief Minister welcomes my call for better #cannabis &amp; #drugs law, listen from 18min ht…"
"34",0,"Good news guys and girl's, we're due a heat wave for two weeks and its at its worst on the day of the sesh #session #drugs #drink"
"35",2,"RT @LanceMartell: ""@HighOffLyfe_OD: Your friend ain't cute but my niggas a trooper he'll take the L""

My favorite line. I love it so much. …"
"36",0,"RT @BeverleyGlazer: #Food #relationships #drugs Anything can become an #addiction. Can I help you? http://t.co/pAVpq1GKQa 
Pls retweet."
"37",0,"Man walks into #cop station with #gun, #drugs via @Y7News http://t.co/ZxAncucstp"
"38",1,"Students using 'smart drugs' - http://t.co/V0F1JX1TRP #health #drugs #student #HoneySpa http://t.co/r35dWddYca"
"39",0,"When we do #drugs, we do them together :) #Sachi http://t.co/BN4bqKDIG8"
"40",0,"Colorado prepares banking system for marijuana sellers

#drugs
http://t.co/jCcjBY2t7M
via @guardian"
"41",0,"RT @PolicyMic: Report backed by 5 Nobel Prize-winning economists calls for the end to the war on #drugs http://t.co/ibUCtX65Yz http://t.co/…"
"42",0,"RT @PolicyMic: Report backed by 5 Nobel Prize-winning economists calls for the end to the war on #drugs http://t.co/ibUCtX65Yz http://t.co/…"
"43",2,"If you want to get the best #oral #drugs available in the #market, you should definitely visit our #website...
http://t.co/E7ZK4FG2eG"
"44",0,"@BenthamScienceP #ebooks related to #Clinical #Cardiovascular #drugs journal, http://t.co/KrjiLMSxI0 http://t.co/JmF96CVeru"
"45",0,"RT @PolicyMic: Report backed by 5 Nobel Prize-winning economists calls for the end to the war on #drugs http://t.co/ibUCtX65Yz http://t.co/…"
"46",-1,"RT @LifeExtension: Please RT this if you think it's completely absurd! #drugs #BigPharma http://t.co/Q8GHHcHzWH"
"47",0,"RT @PolicyMic: Report backed by 5 Nobel Prize-winning economists calls for the end to the war on #drugs http://t.co/ibUCtX65Yz http://t.co/…"
"48",0,"#tftc #faded #drugs #sleepdeprived"
"49",0,"Don't Do #Drugs Kids', this is how you'll End Up....#Retweet http://t.co/jTB7v6Ue9m"
"50",2,"you dont need #drugs to make your life magical ~* wish yoy all a magical day ~*"
"51",-1,"At http://t.co/CHnL3vl4pk -- #alternative #side #of #disney #drug #drugs #cocaine #bad #women #crudelia #malefica http://t.co/aPYZnnJkun"
"52",-2,"#drugs are a waste of time. they destroy your memory and your self-respect and everything that goes along with with your self esteem."
"53",0,"#Food #relationships #drugs Anything can become an #addiction. Can I help you? http://t.co/pAVpq1GKQa 
Pls retweet."
