"","score","text"
"1",0,"Why #Beyoncé is a conservative icon with her message that #marriage is where the fun begins, not where it ends. 
http://t.co/flMoE9jXZw"
"2",-1,"RT @JoyceMeyer: At some point you have to decide if you're going to give up or press through the difficulties. Watch this: http://t.co/MoEP…"
"3",2,"Love listens to the other person and searches for clues on ways to serve, bless and lift up that person. #marriage”"
"4",0,"#marriage If you &amp; your spouse have noticed an upswing in arguments or disagreements, then maybe it is time for you to see a coach"
"5",0,"Infection Control and Antimicrobial Stewardship people should work together…#marriage Alison Holmes #ESGAPCourse"
"6",0,"The #divorce stats are wrong. 50% of #marriage do not end in divorce. And there's more #encouraging stuff, too! http://t.co/w4pw24Yx9N"
"7",0,"RT @cnalive: Cardinal Kasper: 'Heroism is not for the average Christian' http://t.co/aVTjqNNMOE #Catholic #Marriage #Divorce"
"8",0,"RT @CHRDnet: #China's Ministry of Civil Affairs says #marriage is between men &amp; women; did not answer #CESCR Q on equal rights for #LGBT @B…"
"9",1,"#Kodungalloor #WithFriends #Marriage #Function #Fun #Masti http://t.co/ot8swtoLgV"
"10",-1,"Sneaky Secrets  http://t.co/oywSjyQSTn #marriage wedding weddingdresses weddingwebsite weddinginvitations weddingdecorations weddingwebsites"
"11",0,"Planning A Wedd http://t.co/4ORuDdjquB #marriage wedding weddingdresses weddingwebsite weddinginvitations weddingdecorations weddingwebsites"
"12",-1,"RT @JoyceMeyer: At some point you have to decide if you're going to give up or press through the difficulties. Watch this: http://t.co/MoEP…"
"13",0,"RT @cnalive: Cardinal Kasper: 'Heroism is not for the average Christian' http://t.co/aVTjqNNMOE #Catholic #Marriage #Divorce"
"14",-1,"RT @JoyceMeyer: At some point you have to decide if you're going to give up or press through the difficulties. Watch this: http://t.co/MoEP…"
"15",0,"RT @cnalive: Cardinal Kasper: 'Heroism is not for the average Christian' http://t.co/aVTjqNNMOE #Catholic #Marriage #Divorce"
"16",0,"RT @cnalive: Cardinal Kasper: 'Heroism is not for the average Christian' http://t.co/aVTjqNNMOE #Catholic #Marriage #Divorce"
"17",1,"RT @MaizaHameed: For all those who about to start a new life, plz get thalassemia test before #marriage, and provide better life to your of…"
"18",1,"For all those who about to start a new life, plz get thalassemia test before #marriage, and provide better life to your offsprings #Pakistan"
"19",-1,"RT @JoyceMeyer: At some point you have to decide if you're going to give up or press through the difficulties. Watch this: http://t.co/MoEP…"
"20",0,"Cardinal Kasper: 'Heroism is not for the average Christian' http://t.co/aVTjqNNMOE #Catholic #Marriage #Divorce"
"21",1,"When we were at the park. #marriage #love #untilthedeathdouspart http://t.co/vhRo8RzXKY"
"22",1,"We have wedding photography packages available from just £499 in Herts Beds Bucks
http://t.co/MVYupeL7go #Engagement #Marriage #photography"
"23",1,"RT @MonicaCheatheam: Do you wanna be right or do you want a relationship? #DatingTip #DatingAdvice #Marriage"
"24",-1,"RT @JoyceMeyer: At some point you have to decide if you're going to give up or press through the difficulties. Watch this: http://t.co/MoEP…"
"25",1,"Do you wanna be right or do you want a relationship? #DatingTip #DatingAdvice #Marriage"
"26",0,"Make Love, Not Stereotypes: Breaking Stereotypes with... http://t.co/erre3HDEo8 #BPO #breakingstereotypes #commonpeople #hindu #marriage"
"27",1,"And now i enjoy #brothers #marriage http://t.co/0rtTXrhdfE"
"28",-1,"Missing #mothers: Plea to include mothers’ names on #marriage certificates passes 25,000 signatures http://t.co/N3CgyT94Iq"
"29",-1,"RT @indiabazaaronli: Confused what to wear on your sister’s #marriage next month?
http://t.co/o7G2DewPc7 http://t.co/98hprEeqjo"
"30",-1,"The cause for the #divorce would remain private, he said, but the reasons for ending a #marriage fall on the... http://t.co/xJhdYmpZhq"
"31",2,"RT @MarriageLove: #love is not about finding the right person, but creating a right relationship. Unknown #marriage #tips #advice"
"32",2,"RT @JoyceMeyer: Love listens to the other person and searches for clues on ways to serve, bless and lift up that person. #marriage"
"33",0,"RT @AmandaGreenUK: 3 thought provoking short stories! http://t.co/qD0EI3SwQy    #friendships #relationship choices #marriage #affairs #trus…"
"34",-1,"RT @JoyceMeyer: At some point you have to decide if you're going to give up or press through the difficulties. Watch this: http://t.co/MoEP…"
"35",0,"Hi @youlovebcn I have a friend coming in June w/ her 5 girlfriends to spend some days before #marriage - any tips? #bcnnights"
"36",2,"#Love #Togetherness #Couples #Marriage #lifepartners #Family #Relationships #Friendships #TheMindOfHefff http://t.co/50eJoEQmiU"
"37",0,"RT @AmandaGreenUK: 3 thought provoking short stories! http://t.co/qD0EI3SwQy    #friendships #relationship choices #marriage #affairs #trus…"
"38",0,"Melt Your Mans Heart: How to become irresistible again to your cold, distant and unintersted man. http://t.co/5r5AVMvuST #marriage"
"39",0,"http://t.co/pLU3oqRVki #Companion #Convenience #Marriage #Murderer An Independent Woman (Mills &amp;amp; Boon M&amp;amp;B)"
"40",0,"RT @AmandaGreenUK: 3 thought provoking short stories! http://t.co/qD0EI3SwQy    #friendships #relationship choices #marriage #affairs #trus…"
"41",-1,"At some point you have to decide if you're going to give up or press through the difficulties. http://t.co/89l2k9UxvI #marriage"
"42",1,"3 thought provoking short stories! http://t.co/qD0EI3SwQy    #friendships #relationship choices #marriage #affairs #trust #love #lies #ASMSG"
"43",-1,"RT @JoyceMeyer: At some point you have to decide if you're going to give up or press through the difficulties. Watch this: http://t.co/MoEP…"
"44",0,"One day I noticed an old post in an old #sexless #marriage thread. The person who commented was MotoDude, whose... http://t.co/UHqVom9rvj"
"45",-3,"There's 2 reasons that you hate gay marriage. 1, you're dumb or 2, you're secretly worried that dicks are delicious. #gay #marriage #haters"
"46",2,"PseudoConsevative: I support #civilunions. CU used as #Alinsky tool 2redefine #marriage morality &amp;threaten #religiousliberty #wakeup"
