"","score","text"
"1",0,"RT @glenchisholm: Today a great platform to discuss #Racism with live music art and expression @TheRedRoomUK #TheRWord #Ipswich http://t.co…"
"2",-1,"Yesterday MS celebrated #EmancipationDay #149. It's a reminder of how Southern society hasn't lifted a finger since. #racism #oppression"
"3",0,"RT @glenchisholm: Today a great platform to discuss #Racism with live music art and expression @TheRedRoomUK #TheRWord #Ipswich http://t.co…"
"4",-2,"#women #WomenSucceed #racism #culture Rape used as a #weapon of #war in #Africa http://t.co/mrjs1sha9X"
"5",-1,"Because one individuals skin color makes them responsible for everything another person with the same skin color did to you. #racism"
"6",0,"RT @glenchisholm: Today a great platform to discuss #Racism with live music art and expression @TheRedRoomUK #TheRWord #Ipswich http://t.co…"
"7",-1,"Walk against racism - May 25 http://t.co/D4Vg0lnfvg #respect #racism #s18c #RacialDiscriminationAct #Lakemba #community @Tony_Burke"
"8",1,"RT @one_sol_rev: .@Swamy39 hidden implication of brahminical superiority in your statement.  sounds like rating reports that upgrades from …"
"9",-1,"RT @SofiaEfree: This #UKIP poster in #Notts has been improved by someone very creative #racism #hypocrisy #corruption… http://t.co/ip2ozje1…"
"10",-1,"The genetic... http://t.co/EyAOJJfTwB
 #africa #asia #dna #europe #matriarchy #natives #occupation #origins #patriarchy #prehistory #racism"
"11",-1,"RT @DeanoMartino1: #Racism is taught.

""@denisleary: Dear Donald Sterling: http://t.co/2GJgGqEcaN"""
"12",0,"@darrensammy88 Why are there only ""white"" Cheer leaders in the IPL? 
#IPL7 #racism"
"13",-1,"RT @2ANow: MT #Guncontrol &amp; #Racism Go Hand in Hand http://t.co/ZOGDg8Iyxq #NJ2AS #2A #uniteblue"
"14",-2,"#Racism makes me sick."
"15",0,"RT @LocalityCentral: Pretending #racism doesn’t exist or veiling it in humour won’t make it go away http://t.co/DPpayJpUAf #EndRacism"
"16",-1,"RT @2ANow: MT #Guncontrol &amp; #Racism Go Hand in Hand http://t.co/ZOGDg8Iyxq #NJ2AS #2A #uniteblue"
"17",-1,"@NajibRazak @ikatanmuslimin @anwaribrahim Lets embrace our inner Panda and focus on contributions!! #racism #pandas http://t.co/zrEzmXplFP"
"18",-1,"RT @2ANow: MT #Guncontrol &amp; #Racism Go Hand in Hand http://t.co/ZOGDg8Iyxq #NJ2AS #2A #uniteblue"
"19",0,"What Donald Sterling’s Love of #Koreans Reveals About #Racism in #America http://t.co/WmfrgRshUz via @slate #race"
"20",0,"RT @amk4obama: #Racism - perfect toon
#supremecourt http://t.co/dCYgjaHDWj"
"21",-1,"RT @jeffstinco: Let's see if I got this strait: black athletes can play basketball and run but shouldn't play hockey? #PKSubban #racism #un…"
"22",-2,"Photo: No, #Google; #leopard is not a synonym for #cheetah. That’s just #racist #racism. #therian #furry http://t.co/wEf7wmo0Wl"
"23",-1,"RT @pinkopros: opponents of #UCDavisDivest telling students of color what they REALLY mean. #racism"
"24",-1,"opponents of #UCDavisDivest telling students of color what they REALLY mean. #racism"
"25",-3,"WHY U DROP DAT THUN THUN THUN?! #Asian #comedy #racist #racism #funny #dontdropthatthubthunthun #asianmanrants #loop https://t.co/cpYMDwODh8"
"26",-1,"RT @febcusa: Blog Post: ""Lessons from Donald Sterling &amp; the Bible: the ..."" - http://t.co/k6kbZ3J2g9 #DonaldSterling #ImageBearers #Racism"
"27",-1,"RT @OpBlackVote: http://t.co/tyRm9tpZrn Maggi Hambling just doesn't get it! #BlackVote #Racism @UCS_NEWS @nusBSC @nusuk"
"28",0,"Say No to #racism : Adidas #Obama #Striking #Allin #Sea #Stripes #Clothes #Outstanding #Addict http://t.co/9fuEpmkq2Z"
"29",-2,"RT @danakarina02: @CharlieCrist #Florida : 'Intolerable' #racism Is A 'Big Reason' Why I Left The #GOP http://t.co/O1evS4VMCO via @HuffPost…"
"30",-1,"Islam opposes #racism in all its forms! In fact, Prophet Muhammad (pbuh) described it to be pure ignorance!"
"31",-1,"Islam opposes #racism in all its forms! In fact, Prophet Muhammad (pbuh) described it to be pure ignorance!"
"32",-1,"RT @misogyny_online: #misogyny #DVA #Islamophobia &amp; #racism from #Sun http://t.co/IIHP5m4iMA"
"33",-1,"Islam opposes #racism in all its forms! In fact, Prophet Muhammad (pbuh) described it to be pure ignorance!"
"34",-1,"Islam opposes #racism in all its forms! In fact, Prophet Muhammad (pbuh) described it to be pure ignorance!"
"35",-1,"Islam opposes #racism in all its forms! In fact, Prophet Muhammad (pbuh) described it to be pure ignorance!"
