"","score","text"
"1",2,"In work with one thing on my mind. Can't function #work #life"
"2",1,"Another early morning meeting! #JulyThings #ForbesMagazine #NewClient #Work #Siyasebenza… (w/ Thami) [pic] — https://t.co/7ub6YwBFvX"
"3",0,"Back 2 the grind #work"
"4",2,"On set getting make-up done by the lovely Malu #TVCommercial #Work #TV #Advert… http://t.co/sOn0wgYuOt"
"5",1,"Remember @OswestryLibrary #Work #Club Today at 10.30am - @NationalCareers help with CV and Speculative Letters ! #Oswestry pls RT"
"6",2,"I'm not sure why I thought picking up a double was a good idea. #work #sleepdeprived"
"7",3,"Last Day  #Work #Amazing #Happy #Sleep #ToNight http://t.co/Wni3VdQU00"
"8",0,"RT @franca_piovani: #Women @ #Work:equilibrio #carriera #famiglia http://t.co/vevAQfLpUA #WomenIN http://t.co/QdxS3ARX3N @ginevra_sole @ele…"
"9",1,"#me #cutie #hello #work #moohan http://t.co/wDudnZOvuQ"
"10",0,"#work #selfie #bored ☺️ http://t.co/C5PF0hVFZZ"
"11",2,"No cares about what I look like today #NoSleep #work #alreadylate"
"12",3,"Most people are getting up in a few hours to go to work for the day, I'm just getting to bed to wake up in 6 hours to work another 8. #Work"
"13",1,"#reading #writing #kids #wife and #work 
forget everything else i'm in #Nirvana 
@JeremyPoole2 
#follow #followback
http://t.co/JQfdFW1kXk"
"14",1,"RT @derekcarrqb: Looking forward to being on a NFL team tomorrow!! God is so good! Can't wait to finally know where we're going and get to …"
"15",3,"#Treasure what it means to do a day's #work. It's our one and only #chance to do something #productive #today, and it's #certainly not..."
"16",1,"#WORK"
"17",1,"@AbdulAzizAlSub1 @workenvironmen_ @managementm40 @A1Managers Find out what motivates you at #work! #motivation https://t.co/djk99ydurA"
"18",2,"RT @ekospeaks: Our office building is a beauty in itself! #eko #work #office #india #architecture #desi... http://t.co/zcEAH0pwzZ http://t.…"
"19",5,"The #idea that the harder you #work, the #better The #greatest #improvement is made by the #people with #learningdisabilties at #work"
"20",3,"RT @freestyleukcom: Adapt to change in the #work place to succeed – Keep up to date with innovative ideas http://t.co/cS3C0ASAxD"
"21",1,"RT @superjanella:  #work http://t.co/O60HZJ5O5y"
"22",1,"@MariaImizGar Find out what motivates you at #work! #motivation https://t.co/djk99ydurA"
"23",1,"RT @derekcarrqb: Looking forward to being on a NFL team tomorrow!! God is so good! Can't wait to finally know where we're going and get to …"
"24",1,"Spoiling myself a little with 20% off DVDs and Blurays at #jbhifi #jbmildura #jblife #work #shopping… http://t.co/eseiBeCzsG"
"25",1,"@FawnDorr Find out what motivates you at #work! #motivation https://t.co/djk99ydurA"
"26",1,"@kevindeems @BenjumWayne Find out what motivates you at #work! #motivation https://t.co/djk99ydurA"
